source,target,weight,Class,source-title,target-title,source-publisher, target-publisher,source-time,target-time,from-pub-uri,to-pub-uri,source-url, target-url
German137,German126,1,Information-Propagated,Spektakuläres Video: Seeadler fliegt mit einer Kamera über die Alpen,Spektakuläres Video: Seeadler fliegt mit einer Kamera über die Alpen,come-on.de,Solinger Tageblatt,2019-10-22T08:24:00Z,2019-10-22T09:33:00Z,come-on.de,solinger-tageblatt.de,https://www.come-on.de/deutschland-welt/alpen-video-seeadler-mit-kamera-filmt-gletscher-und-zeigt-klimawandel-zr-13142439.html,https://www.solinger-tageblatt.de/panorama/alpen-video-seeadler-mit-kamera-filmt-gletscher-und-zeigt-klimawandel-zr-13142439.html
German138,German134,1,Information-Propagated,Spektakuläres Video: Seeadler fliegt mit einer Kamera über die Alpen,Spektakuläres Video: Seeadler fliegt mit einer Kamera über die Alpen,Merkur.de,Soester-Anzeiger.de,2019-10-22T08:23:00Z,2019-10-22T08:30:00Z,merkur.de,soester-anzeiger.de,https://www.merkur.de/welt/alpen-video-seeadler-mit-kamera-filmt-gletscher-und-zeigt-klimawandel-zr-13142439.html,https://www.soester-anzeiger.de/deutschland-welt/alpen-video-seeadler-mit-kamera-filmt-gletscher-und-zeigt-klimawandel-zr-13142439.html
German139,German136,0.997,Information-Propagated,Spektakuläres Video: Seeadler fliegt mit einer Kamera über die Alpen - der Hintergrund ist aber ernst,Spektakuläres Video: Seeadler fliegt mit einer Kamera über die Alpen,HNA,tz,2019-10-22T08:19:00Z,2019-10-22T08:26:00Z,hna.de,tz.de,https://www.hna.de/welt/alpen-video-seeadler-mit-kamera-filmt-gletscher-und-zeigt-klimawandel-zr-13142439.html,https://www.tz.de/welt/alpen-video-seeadler-mit-kamera-filmt-gletscher-und-zeigt-klimawandel-zr-13142439.html
German14,German8,0.373,Information-Not-Propagated,Weniger riskant: Nachhaltige Aktienfonds haben den Crash besser verkraftet - 05.04.20 - BÖRSE ONLINE,LBBW Global Warming-Fonds: 03/2020-Bericht- Wertrückgang von 10-4%,BÖRSE ONLINE,FinanzNachrichten.de,2020-04-05T08:07:00Z,2020-04-20T15:12:00Z,boerse-online.de,finanznachrichten.de,https://www.boerse-online.de/nachrichten/fonds/weniger-riskant-nachhaltige-aktienfonds-haben-den-crash-besser-verkraftet-1029038223,https://www.finanznachrichten.de/nachrichten-2020-04/49420579-lbbw-global-warming-fonds-03-2020-bericht-wertrueckgang-von-10-4-452.htm
German140,German66,0.334,Information-Not-Propagated,Wärmepumpe mit dem klimafreundlichen Kältemittel Propan für die Aufstellung im Haus entwickelt,LBBW Asset Management : Deutscher Fondspreis und ?uro-FundAward für den LBBW Global Warming,Informationsdienst Wissenschaft - idw,MarketScreener.com,2019-10-21T15:39:00Z,2020-01-30T09:04:00Z,idw-online.de,de.marketscreener.com,https://idw-online.de/de/news725632,https://de.marketscreener.com//boerse-nachrichten/LBBW-Asset-Management-Deutscher-Fondspreis-und-uro-FundAward-fur-den-LBBW-Global-Warming--29912277/
German141,German34,0.388,Information-Not-Propagated,Planetarer Supergau ,Nach Kritik an Greta: Naidoo äußert skurrile Klimawandel-Theorie,Rubikon,Frankfurter Neue Presse,2019-10-19T09:38:00Z,2020-03-28T22:26:00Z,rubikon.news,fnp.de,https://www.rubikon.news/artikel/planetarer-supergau,https://www.fnp.de/politik/xavier-naidoo-dsds-klimawandel-theorie-greta-thunberg-video-fridays-for-future-zr-13600840.html
German142,German32,0.387,Information-Not-Propagated,Sozialismus - und der Meeresspiegel wird sinken!,Nach Kritik an Greta: Naidoo äußert skurrile Klimawandel-Theorie,Die Achse des Guten,HNA,2019-10-18T10:34:00Z,2020-03-28T22:31:00Z,achgut.com,hna.de,https://www.achgut.com/artikel/sozialismus_Und_der_meeresspiegel_wird_sinken,https://www.hna.de/politik/xavier-naidoo-dsds-klimawandel-theorie-greta-thunberg-video-fridays-for-future-zr-13600840.html
German143,German66,0.394,Information-Not-Propagated,Die Klimaschutzfeinde,LBBW Asset Management : Deutscher Fondspreis und ?uro-FundAward für den LBBW Global Warming,Rubikon,MarketScreener.com,2019-10-11T08:11:00Z,2020-01-30T09:04:00Z,rubikon.news,de.marketscreener.com,https://www.rubikon.news/artikel/die-klimaschutzfeinde,https://de.marketscreener.com//boerse-nachrichten/LBBW-Asset-Management-Deutscher-Fondspreis-und-uro-FundAward-fur-den-LBBW-Global-Warming--29912277/
German144,German121,1,Information-Propagated,Global Warming Sucks!,Global Warming Sucks!,api.media.ccc.de,app.media.ccc.de,2019-10-09T23:47:00Z,2019-11-12T12:19:00Z,api.media.ccc.de,app.media.ccc.de,https://api.media.ccc.de/v/thms-11-global-warming-sucks-,https://app.media.ccc.de/v/thms-11-global-warming-sucks-
German145,German117,0.602,Unsure,Tokio- Japan - - Vor dem Hintergrund gemeinsamer Interessen und angesichts des Wunsches- mit Nachdruck gegen den Klimawandel aktiv zu werden und den Ausstoß von Kohlendioxid deutlich zu senken- haben Organisationen aus Japan und Saskatchewan sich über eine Zusammenarbeit verständigt- in ,Regina- Saskatchewan - Der BD3-Anlage kommt nun die Ehre zuteil- eine der weltweit ersten ihrer Art zu sein - das heißt- dass hier nicht nur erstmals diese Technologie zum Einsatz kam- sondern auch die Bereitschaft vorhanden war- erste Erfahrungen ,POPULÄRE PRESSE,POPULÄRE PRESSE,2019-10-09T20:51:00Z,2019-11-23T09:24:00Z,poppress.de,poppress.de,https://www.poppress.de/wirtschaft/tokio-japan-vor-dem-hintergrund-gemeinsamer-interessen-und-angesichts-des/59438257,https://www.poppress.de/wirtschaft/regina-saskatchewan-der-bd3-anlage-kommt-nun-die-ehre-zuteil-eine-der-weltweit/59581273
German146,German145,0.95,Information-Propagated,Unternehmen aus Japan und Saskatchewan bündel ihre Kräfte- um die CCS-Technologie voranzubringen und,Tokio- Japan - - Vor dem Hintergrund gemeinsamer Interessen und angesichts des Wunsches- mit Nachdruck gegen den Klimawandel aktiv zu werden und den Ausstoß von Kohlendioxid deutlich zu senken- haben Organisationen aus Japan und Saskatchewan sich über eine Zusammenarbeit verständigt- in ,firmenpresse,POPULÄRE PRESSE,2019-10-08T22:11:00Z,2019-10-09T20:51:00Z,firmenpresse.de,poppress.de,https://www.firmenpresse.de/pressinfo1760271/unternehmen-aus-japan-und-saskatchewan-buendel-ihre-kraefte-um-die-ccs-technologie-voranzubringen-und-den-co2-ausstoss-zu-reduzieren.html,https://www.poppress.de/wirtschaft/tokio-japan-vor-dem-hintergrund-gemeinsamer-interessen-und-angesichts-des/59438257
German147,German66,0.385,Information-Not-Propagated,Gretas Freund- der Terminator: Die grüne Vergangenheit von Arnold Schwarzenegger,LBBW Asset Management : Deutscher Fondspreis und ?uro-FundAward für den LBBW Global Warming,watson.de,MarketScreener.com,2019-10-02T08:44:00Z,2020-01-30T09:04:00Z,watson.de,de.marketscreener.com,https://www.watson.de/!639653617,https://de.marketscreener.com//boerse-nachrichten/LBBW-Asset-Management-Deutscher-Fondspreis-und-uro-FundAward-fur-den-LBBW-Global-Warming--29912277/
German148,German70,0.373,Information-Not-Propagated,Die besten Darstellungen des Klimawandels,Weltuntergangsszenarien in der Literatur - Vom großen Knall zur schleichenden Katastrophe,Digital Present,Deutschlandfunk Kultur,2019-09-29T16:23:00Z,2020-01-22T16:30:00Z,digitalpresent.tagesspiegel.de,deutschlandfunkkultur.de,https://digitalpresent.tagesspiegel.de/vis-for-future,https://www.deutschlandfunkkultur.de/weltuntergangsszenarien-in-der-literatur-vom-grossen-knall.1270.de.html?dram:article_id=468463
German149,German143,0.349,Information-Not-Propagated,Es gib keine Klimakrise: Ein dringlicher Brief an UN-Generalsekretär mit Lobby-Geschmäckle,Die Klimaschutzfeinde,RT Deutsch,Rubikon,2019-09-27T12:56:00Z,2019-10-11T08:11:00Z,deutsch.rt.com,rubikon.news,https://deutsch.rt.com/international/92776-es-gib-keine-klimakrise-dringlicher-brief/,https://www.rubikon.news/artikel/die-klimaschutzfeinde
German15,German8,1,Information-Propagated,LBBW Global Warming-Fonds: 02/2020-Bericht- Wertrückgang von 5-1%,LBBW Global Warming-Fonds: 03/2020-Bericht- Wertrückgang von 10-4%,FinanzNachrichten.de,FinanzNachrichten.de,2020-04-02T09:47:00Z,2020-04-20T15:12:00Z,finanznachrichten.de,finanznachrichten.de,https://www.finanznachrichten.de/nachrichten-2020-04/49281366-lbbw-global-warming-fonds-02-2020-bericht-wertrueckgang-von-5-1-452.htm,https://www.finanznachrichten.de/nachrichten-2020-04/49420579-lbbw-global-warming-fonds-03-2020-bericht-wertrueckgang-von-10-4-452.htm
German150,German33,0.27,Information-Not-Propagated,Hannovers Bid Book soll den Titel Kulturhauptstadt holen,Nach Kritik an Greta: Naidoo äußert skurrile Klimawandel-Theorie,Neue Presse,tz,2019-09-26T18:06:00Z,2020-03-28T22:26:00Z,neuepresse.de,tz.de,https://www.neuepresse.de/Nachrichten/Kultur/Hannovers-Bid-Book-soll-den-Titel-Kulturhauptstadt-holen,https://www.tz.de/politik/xavier-naidoo-dsds-klimawandel-theorie-greta-thunberg-video-fridays-for-future-zr-13600840.html
